epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.052,0.72625,2.69292,1.3096,0.26551,0.58672,0.33655,0.2764,0.63671,1.71022,1.33624,0.000276993,0.000276993,0.000276993
2,203.609,0.65601,1.8901,1.22895,0.26845,0.52447,0.33656,0.28188,0.59444,2.04777,1.31384,0.000543677,0.000543677,0.000543677
3,316.03,0.6548,1.67494,1.22397,0.37771,0.58412,0.41427,0.34834,0.62077,1.49358,1.33167,0.000799366,0.000799366,0.000799366
4,465.347,0.64888,1.56774,1.22327,0.40343,0.65161,0.4866,0.41681,0.58092,1.37012,1.26292,0.00078352,0.00078352,0.00078352
5,649.883,0.62354,1.49589,1.19732,0.45919,0.63387,0.53048,0.45963,0.5451,1.30034,1.2507,0.000767026,0.000767026,0.000767026
6,863.602,0.60516,1.43922,1.18509,0.42076,0.65778,0.55403,0.48519,0.52714,1.21137,1.20812,0.000750533,0.000750533,0.000750533
7,1096.45,0.59273,1.41571,1.17595,0.45092,0.65332,0.55075,0.48169,0.52705,1.20963,1.21752,0.00073404,0.00073404,0.00073404
8,1319.78,0.58292,1.38276,1.1713,0.49512,0.66274,0.58849,0.514,0.5384,1.16417,1.24357,0.000717546,0.000717546,0.000717546
9,1475.37,0.57997,1.36217,1.16791,0.47857,0.66924,0.58907,0.52107,0.51236,1.15826,1.20092,0.000701053,0.000701053,0.000701053
10,1620.8,0.57256,1.34145,1.16066,0.55777,0.65956,0.62672,0.55623,0.49228,1.07577,1.16585,0.000684559,0.000684559,0.000684559
11,1765.2,0.56615,1.3199,1.15623,0.50982,0.63729,0.60744,0.53787,0.4915,1.12471,1.16688,0.000668066,0.000668066,0.000668066
12,1956.62,0.55763,1.3096,1.14968,0.53132,0.65519,0.61666,0.54367,0.50319,1.11764,1.17936,0.000651573,0.000651573,0.000651573
13,2174.82,0.54851,1.28359,1.14102,0.55551,0.66305,0.64743,0.57243,0.50517,1.05619,1.19699,0.000635079,0.000635079,0.000635079
14,2383.25,0.55059,1.27178,1.13906,0.5575,0.66665,0.63965,0.56979,0.48722,1.07861,1.16503,0.000618586,0.000618586,0.000618586
15,2603.95,0.5403,1.264,1.13822,0.58359,0.67418,0.66775,0.59623,0.47633,1.02188,1.15257,0.000602092,0.000602092,0.000602092
16,2830.2,0.53459,1.24666,1.13036,0.58159,0.68336,0.67015,0.59774,0.47329,1.00528,1.14401,0.000585599,0.000585599,0.000585599
17,3036.46,0.53446,1.22826,1.13408,0.58417,0.69755,0.69134,0.61625,0.47573,1.03799,1.14102,0.000569106,0.000569106,0.000569106
18,3254.46,0.53391,1.21511,1.12979,0.60802,0.66942,0.69121,0.62115,0.4596,0.9802,1.12433,0.000552612,0.000552612,0.000552612
19,3431.57,0.52159,1.20934,1.12348,0.61828,0.66706,0.69692,0.62481,0.45851,1.00835,1.1209,0.000536119,0.000536119,0.000536119
20,3632.2,0.5194,1.18737,1.1228,0.62568,0.66735,0.7034,0.63555,0.43741,0.97216,1.10184,0.000519625,0.000519625,0.000519625
21,3861.91,0.5147,1.18523,1.12209,0.5781,0.6939,0.68608,0.61904,0.46063,1.00874,1.11847,0.000503132,0.000503132,0.000503132
22,4072.79,0.51984,1.17482,1.1208,0.64684,0.66119,0.72141,0.64981,0.44832,0.93263,1.11201,0.000486639,0.000486639,0.000486639
23,4293.67,0.51363,1.15901,1.11808,0.59313,0.67318,0.69136,0.62441,0.44986,1.04655,1.11117,0.000470145,0.000470145,0.000470145
24,4509.69,0.50613,1.14259,1.11554,0.63131,0.68513,0.72152,0.65067,0.44561,0.90864,1.10436,0.000453652,0.000453652,0.000453652
25,4668.13,0.50695,1.14089,1.11402,0.63358,0.68222,0.72526,0.65094,0.45652,0.912,1.11669,0.000437158,0.000437158,0.000437158
26,4833.24,0.50143,1.13352,1.11146,0.61781,0.71297,0.73029,0.66142,0.44142,0.89541,1.09953,0.000420665,0.000420665,0.000420665
27,4989.44,0.49655,1.12228,1.1059,0.63381,0.70806,0.72906,0.65591,0.45172,0.88862,1.11165,0.000404172,0.000404172,0.000404172
28,5152.45,0.50095,1.10534,1.10684,0.641,0.70179,0.73335,0.66497,0.44009,0.91583,1.09405,0.000387678,0.000387678,0.000387678
29,5308.21,0.49387,1.10542,1.10678,0.64775,0.69604,0.73734,0.67118,0.43585,0.88279,1.09668,0.000371185,0.000371185,0.000371185
30,5463.94,0.48569,1.09746,1.09789,0.65422,0.69799,0.74173,0.67202,0.43796,0.87055,1.09592,0.000354691,0.000354691,0.000354691
31,5618.85,0.48948,1.07989,1.09992,0.69552,0.66822,0.75233,0.68059,0.44082,0.86948,1.09485,0.000338198,0.000338198,0.000338198
32,5773.88,0.48463,1.0669,1.09364,0.67414,0.68357,0.74547,0.67844,0.4318,0.87097,1.08263,0.000321705,0.000321705,0.000321705
33,5936.94,0.48467,1.0543,1.09151,0.66245,0.68996,0.74309,0.67284,0.43604,0.87392,1.09061,0.000305211,0.000305211,0.000305211
34,6094.81,0.47969,1.05845,1.09348,0.67337,0.71186,0.75882,0.68747,0.44109,0.84779,1.10261,0.000288718,0.000288718,0.000288718
35,6252.79,0.47309,1.03691,1.08856,0.67331,0.70065,0.75033,0.68163,0.43401,0.87217,1.08541,0.000272224,0.000272224,0.000272224
36,6409.65,0.47452,1.04072,1.09293,0.67278,0.70677,0.76084,0.69257,0.42567,0.83921,1.07675,0.000255731,0.000255731,0.000255731
37,6572.54,0.47835,1.02997,1.09079,0.6593,0.69378,0.75542,0.68898,0.43367,0.87223,1.07949,0.000239238,0.000239238,0.000239238
